"","Early","Late"
"Gera2012",31.425954,57.295971
"ImbaRufael2001",48.729385,49.097246
"ImbaRufael2002",42.822704,60.954527
"ImbaRufael2003",53.405668,63.784672
"ImbaRufael2004",35.476742,20.870272
"ImbaRufael2005",64.852358,56.52546
"ImbaRufael2006",60.63805,55.686596
"ImbaRufael2007",40.607034,74.074607
"ImbaRufael2008",56.860167,58.503011
"ImbaRufael2009",63.601184,50
"ImbaRufael2010",73.71343,57.229523
"ImbaRufael2011",95.295413,53.345413
"ImbaRufael2012",41.131074,57.295971
"Lemlem2001",27.268459,56.955945
"Lemlem2002",25.529546,69.778159
"Lemlem2003",26.62714,61.908488
"Lemlem2004",13.232603,16.363116
"Lemlem2005",55.64552,68.940042
"Lemlem2006",35.82808,63.424398
"Lemlem2007",6.110904,70.049088
"Lemlem2008",11.3775,66.236797
"Lemlem2009",15.199179,50
"Lemlem2010",27.233086,73.710079
"Lemlem2011",88.697634,49.581453
"Lemlem2012",15.898435,50
"Mearey2001",27.268459,56.955945
"Mearey2002",25.529546,69.778159
"Mearey2003",26.62714,61.908488
"Mearey2004",13.232603,16.363116
"Mearey2005",55.64552,68.940042
"Mearey2006",35.82808,63.424398
"Mearey2007",6.110904,70.049088
"Mearey2008",11.3775,66.236797
"Mearey2009",15.199179,50
"Mearey2010",27.233086,73.710079
"Mearey2011",88.697634,49.581453
"Mearey2012",15.898435,50
"AdisAlemW2001",6.992862,66.562107
"AdisAlemW2002",4.574784,63.002544
"AdisAlemW2003",0,74.6549513
"AdisAlemW2004",0,17.032581
"AdisAlemW2005",25.998515,72.410726
"AdisAlemW2006",10.377492,50.8165575
"AdisAlemW2007",4.225946,59.093223
"AdisAlemW2008",24.358175,51.161352
"AdisAlemW2009",0,55.488615
"AdisAlemW2010",33.023277,82.459014
"AdisAlemW2011",43.568473,61.758614
"AdisAlemW2012",43.644187,53.975471
"Endachiwa2001",7.720518,72.419514
"Endachiwa2002",4.943422,66.479091
"Endachiwa2003",5.034965,75
"Endachiwa2004",0,40.566658
"Endachiwa2005",19.451579,68.267767
"Endachiwa2006",40.102863,63.733893
"Endachiwa2007",16.048381,72.640127
"Endachiwa2008",34.655895,60.978426
"Endachiwa2009",22.302662,50
"Endachiwa2010",58.684114,75
"Endachiwa2011",69.032736,55.688885
"Endachiwa2012",20.694158,59.23147
"Endagahamus2001",7.138011,70.294822
"Endagahamus2002",3.882576,75
"Endagahamus2003",10.105225,60.11558
"Endagahamus2004",0,37.866948
"Endagahamus2005",21.560391,58.027536
"Endagahamus2006",16.358377,50
"Endagahamus2007",12.287196,64.659901
"Endagahamus2008",30.530664,59.716726
"Endagahamus2009",0,45.391726
"Endagahamus2010",52.402996,75
"Endagahamus2011",75,55.776455
"Endagahamus2012",19.536302,56.041576
"Maekelawi2001",7.138011,70.294822
"Maekelawi2002",3.882576,75
"Maekelawi2003",10.105225,60.11558
"Maekelawi2004",0,37.866948
"Maekelawi2005",21.560391,58.027536
"Maekelawi2006",16.358377,50
"Maekelawi2007",12.287196,64.659901
"Maekelawi2008",30.530664,59.716726
"Maekelawi2009",0,45.391726
"Maekelawi2010",52.402996,75
"Maekelawi2011",75,55.776455
"Maekelawi2012",19.536302,56.041576
"MaekelSegli2001",17.790289,65.207849
"MaekelSegli2002",0,66.743156
"MaekelSegli2003",0,67.194644
"MaekelSegli2004",0,49.655051
"MaekelSegli2005",33.3852247,68.990296
"MaekelSegli2006",17.980479,53.901157
"MaekelSegli2007",24.679702,63.387977
"MaekelSegli2008",75.756662,61.951878
"MaekelSegli2009",11.76913,50
"MaekelSegli2010",54.656855,75
"MaekelSegli2011",63.85757,55.671372
"MaekelSegli2012",15.6969432,52.832448
"Selam2001",19.022491,72.1028
"Selam2002",0,75
"Selam2003",0,74.774905
"Selam2004",3.25195,49.030031
"Selam2005",32.709883,77.14207
"Selam2006",36.733789,55.31064
"Selam2007",10.301028,60.991976
"Selam2008",22.35922,62.492443
"Selam2009",0,48.313555
"Selam2010",38.47633,82.217315
"Selam2011",65.03327,71.242925
"Selam2012",16.777957,57.808972
