"","WindowScaleSize","Latitude","Longitude","Agreement","Year1","Year2","Window","site","Difference"
"324","3.75 km",14.2107,39.61543333,0.5,2002,2004,"Late Window","Asmena",0
"325","3.75 km",14.01175,39.59356667,0.5,2009,2012,"Late Window","GuemseAgamet",0
"326","3.75 km",14.127,39.583,0.5,2004,2009,"Late Window","HadushAdi",0.5
"327","3.75 km",14.2,39.6,0.5,2004,2008,"Late Window","HadushHiwet",0
"328","3.75 km",13.96051667,39.59608333,0,2002,2009,"Late Window","Sendada",-0.5
"329","3.75 km",14.01175,39.59356667,0.5,2009,2012,"Late Window","Sinkata",0
"330","3.75 km",13.348441,39.236951,0.5,2008,2009,"Late Window","AdekeAla",-0.5
"331","3.75 km",13.308802,39.229,1,2004,2008,"Late Window","AdisAlemS",0
"332","3.75 km",13.3,39.2,1,2004,2008,"Late Window","AmdiWeyane",0
"333","3.75 km",13.28738,39.177571,0.5,2004,2009,"Late Window","HintsaWaza",-0.5
"334","3.75 km",13.254226,39.242201,0.5,2004,2009,"Late Window","MayTeklia",-0.5
"335","3.75 km",13.237814,39.187599,0.5,2002,2009,"Late Window","MetkelLemat",-0.5
"336","3.75 km",13.43246667,38.96085,0,2008,2009,"Late Window","Gera",0
"337","3.75 km",13.4,39,0,2008,2009,"Late Window","ImbaRufael",0
"338","3.75 km",13.24661667,39.04156667,0,2008,2009,"Late Window","Lemlem",0
"339","3.75 km",13.19138333,38.99416667,0.5,2004,2008,"Late Window","Mearey",0.5
"340","3.75 km",14.1,39.2,0.5,2004,2009,"Late Window","AdisAlemW",0
"341","3.75 km",14.06666667,39.02396667,1,2004,2009,"Late Window","Endachiwa",0
"342","3.75 km",14,39.1,1,2004,2009,"Late Window","Endagahamus",0
"343","3.75 km",14,39.1,1,2004,2009,"Late Window","Maekelawi",0
"344","3.75 km",13.9,38.9,1,2004,2009,"Late Window","MaekelSegli",0.5
"345","3.75 km",14,39,0.5,2008,2009,"Late Window","Selam",0
"346","7.5 km",14.1509,38.8504,0.5,2008,2009,"Late Window","Bethans",0
"347","7.5 km",14.107,38.963,1,2004,2009,"Late Window","DebreGenetA",0
"348","7.5 km",14.158,38.961,0.5,2008,2009,"Late Window","EndaBagerima",0
"349","7.5 km",14.23,39.015,0.5,2008,2009,"Late Window","Gendebta",0
"350","7.5 km",14.0524,38.9571,1,2004,2009,"Late Window","MariamShewito",0
"351","7.5 km",14.204,38.8843,0.5,2008,2009,"Late Window","Seloda",0
"352","7.5 km",14.0784,38.9704,1,2004,2009,"Late Window","TahtayLegomti",0
"353","7.5 km",14.2475,38.878,0.5,2008,2009,"Late Window","Wedikeshi",0
"354","7.5 km",14.19138333,39.07198333,0.5,2008,2009,"Late Window","Adiyikoro",0
"355","7.5 km",14.2262,39.08181667,0.5,2001,2009,"Late Window","Adizata",0
"356","7.5 km",14.36085,39.10301667,0.5,2002,2009,"Late Window","Betgebez",0
"357","7.5 km",14.27076667,39.08091,0,2008,2009,"Late Window","LaelayMegariaTsemri",-0.5
"358","7.5 km",14.2793,39.17853333,0.5,2004,2009,"Late Window","Maysuru",0
"359","7.5 km",14.32078333,39.22411667,0.5,2004,2005,"Late Window","Sero",0
"360","7.5 km",14.21841667,39.11961667,0.5,2001,2009,"Late Window","TahtayDaeroka",0
"361","7.5 km",14.30111667,39.07828333,0.5,2004,2009,"Late Window","TahtayMegariaTsebri",0
"362","7.5 km",12.527198,39.651575,1,2004,2009,"Late Window","Gerjale",0
"363","7.5 km",12.447477,39.65574,1,2004,2009,"Late Window","KuluGizeLemlem",0
"364","7.5 km",12.466214,39.650299,1,2004,2009,"Late Window","LaelayDayu",0
"365","7.5 km",12.398839,39.657985,0.5,2004,2009,"Late Window","Limaat",0
"366","7.5 km",12.414739,39.659153,1,2004,2009,"Late Window","SelamBekalsi",0
"367","7.5 km",12.358934,39.657374,0.5,2004,2009,"Late Window","SelenWuha",0
"368","7.5 km",13.81893333,39.72011667,1,2004,2009,"Late Window","BarkaAdiswha",0.5
"369","7.5 km",13.9,39.742,0.5,2004,2008,"Late Window","FelegeWayane",-0.5
"370","7.5 km",13.87976667,39.73488333,1,2004,2009,"Late Window","Golgolemalee",0
"371","7.5 km",13.81136667,39.6867,0.5,2006,2009,"Late Window","Habees",0
"372","7.5 km",13.94443333,39.72905,0.5,2008,2009,"Late Window","RubaFelege",-0.5
"373","7.5 km",13.8,39.5,0.5,2004,2009,"Late Window","AbrahaAtsbaha",0
"374","7.5 km",13.82423333,39.61081667,0.5,2005,2009,"Late Window","AdiKisandid",0
"375","7.5 km",13.75331667,39.54968333,0.5,2004,2009,"Late Window","Aynalem",0
"376","7.5 km",13.78058333,39.58768333,0.5,2005,2009,"Late Window","Genfel",0
"377","7.5 km",13.69048333,39.55716667,1,2004,2009,"Late Window","MahbereWeyane",0
"378","7.5 km",13.87613333,39.59755,0.5,2002,2009,"Late Window","Nagash",0
"379","7.5 km",13.733,39.087,1,2004,2009,"Late Window","AdiHa",0
"380","7.5 km",13.7,38.9,0,2002,2006,"Late Window","Atakilti",-0.5
"381","7.5 km",13.744,39.136,0.5,2004,2006,"Late Window","AwetBikalsi",-0.5
"382","7.5 km",13.62643333,38.92838333,0.5,2008,2009,"Late Window","Begashek",0
"383","7.5 km",13.6,39,0.5,2009,2010,"Late Window","DebreGenetK",0
"384","7.5 km",13.69308333,38.89091667,0.5,2002,2009,"Late Window","Menji",0
"385","7.5 km",12.42191667,39.67775,1,2004,2009,"Late Window","AdisKigni",0
"386","7.5 km",12.43026667,39.742,1,2004,2009,"Late Window","Bala",0
"387","7.5 km",12.86883333,39.67121667,0.5,2008,2012,"Late Window","Ebo",0
"388","7.5 km",12.8383,39.716,0.5,2004,2012,"Late Window","Hawelti",0.5
"389","7.5 km",12.5342,39.73416667,0.5,2008,2009,"Late Window","Korme",-0.5
"390","7.5 km",12.76645,39.811,0,2002,2012,"Late Window","Mechare",0
"391","7.5 km",12.79798333,39.65126667,0,2002,2012,"Late Window","Tsigea",0
"392","7.5 km",12.44273333,39.80076667,0.5,2004,2009,"Late Window","Ulaga",0
"393","7.5 km",14.2107,39.61543333,0.5,2002,2004,"Late Window","Asmena",0
"394","7.5 km",14.01175,39.59356667,0.5,2004,2009,"Late Window","GuemseAgamet",0
"395","7.5 km",14.127,39.583,0,2002,2009,"Late Window","HadushAdi",0
"396","7.5 km",14.2,39.6,0.5,2002,2004,"Late Window","HadushHiwet",0
"397","7.5 km",13.96051667,39.59608333,0.5,2004,2009,"Late Window","Sendada",0
"398","7.5 km",14.01175,39.59356667,0.5,2004,2009,"Late Window","Sinkata",0
"399","7.5 km",13.348441,39.236951,0.5,2008,2009,"Late Window","AdekeAla",-0.5
"400","7.5 km",13.308802,39.229,1,2004,2008,"Late Window","AdisAlemS",0
"401","7.5 km",13.3,39.2,1,2004,2008,"Late Window","AmdiWeyane",0
"402","7.5 km",13.28738,39.177571,1,2004,2008,"Late Window","HintsaWaza",0
"403","7.5 km",13.254226,39.242201,0.5,2004,2009,"Late Window","MayTeklia",-0.5
"404","7.5 km",13.237814,39.187599,0.5,2002,2004,"Late Window","MetkelLemat",-0.5
"405","7.5 km",13.43246667,38.96085,0,2008,2009,"Late Window","Gera",0
"406","7.5 km",13.4,39,0,2008,2009,"Late Window","ImbaRufael",0
"407","7.5 km",13.24661667,39.04156667,0,2008,2009,"Late Window","Lemlem",0
"408","7.5 km",13.19138333,38.99416667,0.5,2004,2008,"Late Window","Mearey",0.5
"409","7.5 km",14.1,39.2,0.5,2004,2009,"Late Window","AdisAlemW",0
"410","7.5 km",14.06666667,39.02396667,1,2004,2009,"Late Window","Endachiwa",0
"411","7.5 km",14,39.1,1,2004,2009,"Late Window","Endagahamus",0
"412","7.5 km",14,39.1,1,2004,2009,"Late Window","Maekelawi",0
"413","7.5 km",13.9,38.9,0.5,2002,2009,"Late Window","MaekelSegli",0
"414","7.5 km",14,39,0.5,2008,2009,"Late Window","Selam",0
"415","11.25 km",14.1509,38.8504,0.5,2008,2009,"Late Window","Bethans",0
"416","11.25 km",14.107,38.963,1,2004,2009,"Late Window","DebreGenetA",0
"417","11.25 km",14.158,38.961,0.5,2008,2009,"Late Window","EndaBagerima",0
"418","11.25 km",14.23,39.015,0.5,2008,2009,"Late Window","Gendebta",0
"419","11.25 km",14.0524,38.9571,1,2004,2009,"Late Window","MariamShewito",0
"420","11.25 km",14.204,38.8843,0.5,2008,2009,"Late Window","Seloda",0
"421","11.25 km",14.0784,38.9704,1,2004,2009,"Late Window","TahtayLegomti",0
"422","11.25 km",14.2475,38.878,0.5,2008,2009,"Late Window","Wedikeshi",0
"423","11.25 km",14.19138333,39.07198333,0.5,2008,2009,"Late Window","Adiyikoro",0
"424","11.25 km",14.2262,39.08181667,0.5,2008,2009,"Late Window","Adizata",0
"425","11.25 km",14.36085,39.10301667,0.5,2002,2009,"Late Window","Betgebez",0
"426","11.25 km",14.27076667,39.08091,0.5,2004,2009,"Late Window","LaelayMegariaTsemri",0
"427","11.25 km",14.2793,39.17853333,0.5,2004,2009,"Late Window","Maysuru",0
"428","11.25 km",14.32078333,39.22411667,0.5,2004,2009,"Late Window","Sero",0
"429","11.25 km",14.21841667,39.11961667,0.5,2001,2009,"Late Window","TahtayDaeroka",0
"430","11.25 km",14.30111667,39.07828333,0.5,2004,2009,"Late Window","TahtayMegariaTsebri",0
"431","11.25 km",12.527198,39.651575,1,2004,2009,"Late Window","Gerjale",0
"432","11.25 km",12.447477,39.65574,1,2004,2009,"Late Window","KuluGizeLemlem",0
"433","11.25 km",12.466214,39.650299,1,2004,2009,"Late Window","LaelayDayu",0
"434","11.25 km",12.398839,39.657985,0.5,2004,2009,"Late Window","Limaat",0
"435","11.25 km",12.414739,39.659153,1,2004,2009,"Late Window","SelamBekalsi",0
"436","11.25 km",12.358934,39.657374,0.5,2004,2009,"Late Window","SelenWuha",0
"437","11.25 km",13.81893333,39.72011667,1,2004,2009,"Late Window","BarkaAdiswha",0.5
"438","11.25 km",13.9,39.742,0.5,2004,2008,"Late Window","FelegeWayane",-0.5
"439","11.25 km",13.87976667,39.73488333,1,2004,2009,"Late Window","Golgolemalee",0
"440","11.25 km",13.81136667,39.6867,0.5,2006,2009,"Late Window","Habees",0
"441","11.25 km",13.94443333,39.72905,0.5,2008,2009,"Late Window","RubaFelege",-0.5
"442","11.25 km",13.8,39.5,0.5,2004,2009,"Late Window","AbrahaAtsbaha",0
"443","11.25 km",13.82423333,39.61081667,0.5,2005,2009,"Late Window","AdiKisandid",0
"444","11.25 km",13.75331667,39.54968333,0.5,2004,2009,"Late Window","Aynalem",0
"445","11.25 km",13.78058333,39.58768333,0.5,2005,2009,"Late Window","Genfel",0
"446","11.25 km",13.69048333,39.55716667,1,2004,2009,"Late Window","MahbereWeyane",0
"447","11.25 km",13.87613333,39.59755,0.5,2002,2009,"Late Window","Nagash",0
"448","11.25 km",13.733,39.087,0.5,2004,2008,"Late Window","AdiHa",-0.5
"449","11.25 km",13.7,38.9,0.5,2002,2009,"Late Window","Atakilti",0
"450","11.25 km",13.744,39.136,1,2004,2009,"Late Window","AwetBikalsi",0
"451","11.25 km",13.62643333,38.92838333,0.5,2008,2009,"Late Window","Begashek",0
"452","11.25 km",13.6,39,0.5,2009,2010,"Late Window","DebreGenetK",0
"453","11.25 km",13.69308333,38.89091667,0.5,2002,2009,"Late Window","Menji",0
"454","11.25 km",12.42191667,39.67775,1,2004,2009,"Late Window","AdisKigni",0
"455","11.25 km",12.43026667,39.742,1,2004,2009,"Late Window","Bala",0
"456","11.25 km",12.86883333,39.67121667,0.5,2008,2012,"Late Window","Ebo",0
"457","11.25 km",12.8383,39.716,0,2008,2012,"Late Window","Hawelti",0
"458","11.25 km",12.5342,39.73416667,0.5,2008,2009,"Late Window","Korme",-0.5
"459","11.25 km",12.76645,39.811,0,2008,2012,"Late Window","Mechare",0
"460","11.25 km",12.79798333,39.65126667,0,2008,2012,"Late Window","Tsigea",0
"461","11.25 km",12.44273333,39.80076667,0,2008,2009,"Late Window","Ulaga",-0.5
"462","11.25 km",14.2107,39.61543333,0.5,2002,2004,"Late Window","Asmena",0
"463","11.25 km",14.01175,39.59356667,0.5,2004,2009,"Late Window","GuemseAgamet",0
"464","11.25 km",14.127,39.583,0,2002,2009,"Late Window","HadushAdi",0
"465","11.25 km",14.2,39.6,0.5,2002,2004,"Late Window","HadushHiwet",0
"466","11.25 km",13.96051667,39.59608333,0.5,2004,2009,"Late Window","Sendada",0
"467","11.25 km",14.01175,39.59356667,0.5,2004,2009,"Late Window","Sinkata",0
"468","11.25 km",13.348441,39.236951,0.5,2008,2009,"Late Window","AdekeAla",-0.5
"469","11.25 km",13.308802,39.229,1,2004,2008,"Late Window","AdisAlemS",0
"470","11.25 km",13.3,39.2,1,2004,2008,"Late Window","AmdiWeyane",0
"471","11.25 km",13.28738,39.177571,1,2004,2008,"Late Window","HintsaWaza",0
"472","11.25 km",13.254226,39.242201,0.5,2004,2009,"Late Window","MayTeklia",-0.5
"473","11.25 km",13.237814,39.187599,1,2004,2009,"Late Window","MetkelLemat",0
"474","11.25 km",13.43246667,38.96085,0,2008,2009,"Late Window","Gera",0
"475","11.25 km",13.4,39,0,2008,2009,"Late Window","ImbaRufael",0
"476","11.25 km",13.24661667,39.04156667,0,2008,2009,"Late Window","Lemlem",0
"477","11.25 km",13.19138333,38.99416667,0.5,2004,2008,"Late Window","Mearey",0.5
"478","11.25 km",14.1,39.2,0.5,2004,2009,"Late Window","AdisAlemW",0
"479","11.25 km",14.06666667,39.02396667,1,2004,2009,"Late Window","Endachiwa",0
"480","11.25 km",14,39.1,1,2004,2009,"Late Window","Endagahamus",0
"481","11.25 km",14,39.1,1,2004,2009,"Late Window","Maekelawi",0
"482","11.25 km",13.9,38.9,1,2004,2009,"Late Window","MaekelSegli",0.5
"483","11.25 km",14,39,0.5,2008,2009,"Late Window","Selam",0
"484","15 km",14.1509,38.8504,0.5,2008,2009,"Late Window","Bethans",0
"485","15 km",14.107,38.963,1,2004,2009,"Late Window","DebreGenetA",0
"486","15 km",14.158,38.961,0.5,2008,2009,"Late Window","EndaBagerima",0
"487","15 km",14.23,39.015,0.5,2008,2009,"Late Window","Gendebta",0
"488","15 km",14.0524,38.9571,1,2004,2009,"Late Window","MariamShewito",0
"489","15 km",14.204,38.8843,0.5,2008,2009,"Late Window","Seloda",0
"490","15 km",14.0784,38.9704,1,2004,2009,"Late Window","TahtayLegomti",0
"491","15 km",14.2475,38.878,0.5,2008,2009,"Late Window","Wedikeshi",0
"492","15 km",14.19138333,39.07198333,0.5,2008,2009,"Late Window","Adiyikoro",0
"493","15 km",14.2262,39.08181667,0.5,2008,2009,"Late Window","Adizata",0
"494","15 km",14.36085,39.10301667,1,2004,2009,"Late Window","Betgebez",0.5
"495","15 km",14.27076667,39.08091,0.5,2004,2009,"Late Window","LaelayMegariaTsemri",0
"496","15 km",14.2793,39.17853333,0.5,2004,2009,"Late Window","Maysuru",0
"497","15 km",14.32078333,39.22411667,0.5,2004,2009,"Late Window","Sero",0
"498","15 km",14.21841667,39.11961667,0.5,2001,2009,"Late Window","TahtayDaeroka",0
"499","15 km",14.30111667,39.07828333,0.5,2004,2009,"Late Window","TahtayMegariaTsebri",0
"500","15 km",12.527198,39.651575,1,2004,2009,"Late Window","Gerjale",0
"501","15 km",12.447477,39.65574,1,2004,2009,"Late Window","KuluGizeLemlem",0
"502","15 km",12.466214,39.650299,1,2004,2009,"Late Window","LaelayDayu",0
"503","15 km",12.398839,39.657985,0.5,2004,2009,"Late Window","Limaat",0
"504","15 km",12.414739,39.659153,1,2004,2009,"Late Window","SelamBekalsi",0
"505","15 km",12.358934,39.657374,0.5,2004,2009,"Late Window","SelenWuha",0
"506","15 km",13.81893333,39.72011667,1,2004,2009,"Late Window","BarkaAdiswha",0.5
"507","15 km",13.9,39.742,0.5,2008,2009,"Late Window","FelegeWayane",-0.5
"508","15 km",13.87976667,39.73488333,1,2004,2009,"Late Window","Golgolemalee",0
"509","15 km",13.81136667,39.6867,0.5,2006,2009,"Late Window","Habees",0
"510","15 km",13.94443333,39.72905,0.5,2008,2009,"Late Window","RubaFelege",-0.5
"511","15 km",13.8,39.5,0.5,2004,2009,"Late Window","AbrahaAtsbaha",0
"512","15 km",13.82423333,39.61081667,0.5,2005,2009,"Late Window","AdiKisandid",0
"513","15 km",13.75331667,39.54968333,0.5,2004,2009,"Late Window","Aynalem",0
"514","15 km",13.78058333,39.58768333,1,2004,2009,"Late Window","Genfel",0.5
"515","15 km",13.69048333,39.55716667,1,2004,2009,"Late Window","MahbereWeyane",0
"516","15 km",13.87613333,39.59755,1,2004,2009,"Late Window","Nagash",0.5
"517","15 km",13.733,39.087,1,2004,2009,"Late Window","AdiHa",0
"518","15 km",13.7,38.9,0.5,2002,2009,"Late Window","Atakilti",0
"519","15 km",13.744,39.136,1,2004,2009,"Late Window","AwetBikalsi",0
"520","15 km",13.62643333,38.92838333,0.5,2008,2009,"Late Window","Begashek",0
"521","15 km",13.6,39,0.5,2009,2010,"Late Window","DebreGenetK",0
"522","15 km",13.69308333,38.89091667,0.5,2002,2009,"Late Window","Menji",0
"523","15 km",12.42191667,39.67775,1,2004,2009,"Late Window","AdisKigni",0
"524","15 km",12.43026667,39.742,1,2004,2009,"Late Window","Bala",0
"525","15 km",12.86883333,39.67121667,0.5,2008,2012,"Late Window","Ebo",0
"526","15 km",12.8383,39.716,0,2008,2012,"Late Window","Hawelti",0
"527","15 km",12.5342,39.73416667,0.5,2008,2009,"Late Window","Korme",-0.5
"528","15 km",12.76645,39.811,0,2008,2012,"Late Window","Mechare",0
"529","15 km",12.79798333,39.65126667,0,2008,2012,"Late Window","Tsigea",0
"530","15 km",12.44273333,39.80076667,0,2008,2009,"Late Window","Ulaga",-0.5
"531","15 km",14.2107,39.61543333,0.5,2002,2004,"Late Window","Asmena",0
"532","15 km",14.01175,39.59356667,0.5,2004,2009,"Late Window","GuemseAgamet",0
"533","15 km",14.127,39.583,0,2002,2009,"Late Window","HadushAdi",0
"534","15 km",14.2,39.6,0.5,2002,2004,"Late Window","HadushHiwet",0
"535","15 km",13.96051667,39.59608333,0.5,2004,2009,"Late Window","Sendada",0
"536","15 km",14.01175,39.59356667,0.5,2004,2009,"Late Window","Sinkata",0
"537","15 km",13.348441,39.236951,0.5,2004,2009,"Late Window","AdekeAla",-0.5
"538","15 km",13.308802,39.229,1,2004,2008,"Late Window","AdisAlemS",0
"539","15 km",13.3,39.2,1,2004,2008,"Late Window","AmdiWeyane",0
"540","15 km",13.28738,39.177571,1,2004,2008,"Late Window","HintsaWaza",0
"541","15 km",13.254226,39.242201,0.5,2004,2009,"Late Window","MayTeklia",-0.5
"542","15 km",13.237814,39.187599,1,2004,2009,"Late Window","MetkelLemat",0
"543","15 km",13.43246667,38.96085,0,2008,2009,"Late Window","Gera",0
"544","15 km",13.4,39,0,2008,2009,"Late Window","ImbaRufael",0
"545","15 km",13.24661667,39.04156667,0,2008,2009,"Late Window","Lemlem",0
"546","15 km",13.19138333,38.99416667,0.5,2004,2008,"Late Window","Mearey",0.5
"547","15 km",14.1,39.2,0.5,2004,2009,"Late Window","AdisAlemW",0
"548","15 km",14.06666667,39.02396667,0.5,2008,2009,"Late Window","Endachiwa",-0.5
"549","15 km",14,39.1,1,2004,2009,"Late Window","Endagahamus",0
"550","15 km",14,39.1,1,2004,2009,"Late Window","Maekelawi",0
"551","15 km",13.9,38.9,1,2004,2009,"Late Window","MaekelSegli",0.5
"552","15 km",14,39,1,2004,2009,"Late Window","Selam",0.5
